incident_zip,total_complaints,AHV Inspection Unit,APPLIANCE,Abandoned Bike,Abandoned Vehicle,Air Quality,Animal Facility - No Permit,Animal in a Park,Animal-Abuse,Asbestos,BEST/Site Safety,Beach/Pool/Sauna Complaint,Bench,Bike Rack,Bike/Roller/Skate Chronic,Blocked Driveway,Boilers,Broken Parking Meter,Building Condition,Building Drinking Water Tank,Building/Use,Bus Stop Shelter Complaint,Bus Stop Shelter Placement,Commercial Disposal Complaint,Construction Lead Dust,Consumer Complaint,Cooling Tower,Cranes and Derricks,Curb Condition,DOOR/WINDOW,Damaged Tree,Day Care,Dead Animal,Dead/Dying Tree,Derelict Vehicles,Dirty Condition,Disorderly Youth,Drinking,Drinking Water,Drug Activity,Dumpster Complaint,E-Scooter,ELECTRIC,ELEVATOR,Electrical,Elevator,Emergency Response Team (ERT),Encampment,FLOORING/STAIRS,Food Establishment,Food Poisoning,For Hire Vehicle Complaint,For Hire Vehicle Report,Found Property,GENERAL,General Construction/Plumbing,Graffiti,Green Taxi Complaint,Green Taxi Report,HEAT/HOT WATER,Harboring Bees/Wasps,Hazardous Materials,Homeless Person Assistance,Illegal Animal Kept as Pet,Illegal Animal Sold,Illegal Dumping,Illegal Fireworks,Illegal Parking,Illegal Posting,Illegal Tree Damage,Incorrect Data,Indoor Air Quality,Indoor Sewage,Industrial Waste,Institution Disposal Complaint,Investigations and Discipline (IAD),Lead,LinkNYC,Litter Basket Complaint,Litter Basket Request,Lost Property,Lot Condition,Maintenance or Facility,Missed Collection,Mobile Food Vendor,Mold,Mosquitoes,New Tree Request,Noise,Noise - Commercial,Noise - Helicopter,Noise - House of Worship,Noise - Park,Noise - Residential,Noise - Street/Sidewalk,Noise - Vehicle,Non-Emergency Police Matter,Non-Residential Heat,OUTSIDE BUILDING,Obstruction,Outdoor Dining,Overgrown Tree/Branches,PAINT/PLASTER,PLUMBING,Panhandling,Pet Shop,Plant,Plumbing,Posting Advertisement,Public Toilet,Real Time Enforcement,Recycling Basket Complaint,Residential Disposal Complaint,Rodent,Root/Sewer/Sidewalk Condition,SAFETY,Sanitation Worker or Vehicle Complaint,Scaffold Safety,School Maintenance,Sewer,Sidewalk Condition,Smoking or Vaping,Special Natural Area District (SNAD),Special Projects Inspection Team (SPIT),Standing Water,Street Condition,Street Light Condition,Street Sign - Damaged,Street Sign - Dangling,Street Sign - Missing,Street Sweeping Complaint,Tattooing,Taxi Complaint,Taxi Compliment,Taxi Report,Tobacco or Non-Tobacco Sale,Traffic,Traffic Signal Condition,UNSANITARY CONDITION,Unleashed Dog,Unsanitary Animal Facility,Unsanitary Animal Pvt Property,Unsanitary Pigeon Condition,Unspecified,Uprooted Stump,Urinating in Public,Vendor Enforcement,Violation of Park Rules,WATER LEAK,Water Conservation,Water Quality,Water System,Wayfinding,Wood Pile Remaining,top_complaint,top_complaint_count,NAME,total_population,median_income,poverty_universe,below_poverty,white_alone,black_alone,hispanic,poverty_rate
11420,678,0,1,0,61,0,0,0,8,1,0,0,0,0,2,117,0,0,0,0,16,0,0,0,0,11,0,0,4,5,4,0,4,2,17,5,0,0,0,1,0,0,2,0,2,0,0,2,5,0,0,1,0,0,2,9,0,0,0,6,0,3,2,0,0,8,0,123,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,15,0,1,0,0,4,11,0,1,0,83,19,16,1,0,0,13,0,1,7,4,0,0,0,3,0,0,0,0,1,0,4,1,0,0,0,14,4,0,0,1,0,22,0,1,1,1,0,0,0,0,0,0,1,2,7,1,0,1,0,0,0,0,0,0,4,2,0,5,0,0,Illegal Parking,123,ZCTA5 11420,47266.0,85190.0,47006.0,4833.0,6846.0,11976.0,11485.0,0.10281666170276135
11421,630,0,0,0,29,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,7,0,0,1,0,5,0,0,0,1,11,0,0,4,9,5,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,4,1,0,0,4,0,0,2,0,0,6,0,281,0,1,0,4,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,1,2,2,0,0,0,75,20,6,2,0,0,1,0,5,1,1,0,0,0,0,0,0,0,0,3,1,3,1,0,0,0,4,5,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,1,14,1,0,0,0,1,0,0,1,7,0,2,2,0,1,0,0,Illegal Parking,281,ZCTA5 11421,39654.0,77738.0,39518.0,3539.0,14031.0,2270.0,23166.0,0.08955412723315957
11422,293,0,0,0,24,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,4,0,0,0,0,0,0,0,0,1,3,0,1,1,9,6,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,16,0,51,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,18,1,0,0,4,5,7,0,0,0,24,3,1,4,0,0,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,4,3,0,0,0,0,26,10,0,1,0,0,0,0,0,0,0,2,5,7,0,0,0,0,0,0,0,2,0,0,0,0,5,0,1,Illegal Parking,51,ZCTA5 11422,32786.0,93397.0,32620.0,2395.0,2430.0,27518.0,2887.0,0.0734212139791539
11423,331,0,0,0,8,0,0,0,1,0,0,0,0,0,0,30,0,0,0,0,9,0,0,0,0,1,0,0,0,2,4,0,0,9,10,3,0,0,0,1,0,0,3,0,1,0,0,0,3,1,0,0,0,0,1,16,1,0,0,5,0,0,1,0,0,11,0,71,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,14,0,0,0,0,6,6,0,0,0,14,12,0,2,0,0,4,0,3,2,5,0,0,0,0,0,0,1,0,2,1,0,0,1,0,0,12,5,0,0,0,0,9,4,1,1,0,0,0,0,0,0,0,1,5,3,0,0,0,0,0,0,0,0,0,3,0,0,19,0,0,Illegal Parking,71,ZCTA5 11423,29532.0,70990.0,29124.0,2983.0,3767.0,11223.0,4025.0,0.10242411756626837
11426,167,0,0,0,9,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,3,6,2,2,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,1,0,21,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,23,0,0,0,0,1,0,0,0,0,4,2,0,2,0,0,1,0,9,0,0,0,0,0,3,0,0,0,0,1,2,2,0,0,0,0,5,1,0,0,1,0,9,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,0,Missed Collection,23,ZCTA5 11426,20222.0,102770.0,20095.0,1291.0,6927.0,1219.0,3977.0,0.06424483702413536
11427,130,0,3,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,1,0,0,0,0,0,0,0,2,7,0,2,6,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,2,0,0,0,0,6,0,23,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,11,0,0,0,0,1,0,0,0,0,6,2,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,5,0,0,0,0,0,10,3,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,Illegal Parking,23,ZCTA5 11427,25096.0,81688.0,24595.0,2229.0,5949.0,5452.0,5200.0,0.0906281764586298
11428,150,0,4,0,7,0,0,0,1,0,0,0,0,0,0,14,0,1,0,0,4,0,0,0,0,0,0,0,1,1,4,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,3,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,1,0,2,0,0,0,15,1,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,9,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,Noise - Residential,15,ZCTA5 11428,19830.0,77466.0,19797.0,1554.0,3483.0,3888.0,4774.0,0.07849674193059554
11429,415,0,1,0,11,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,5,0,0,0,0,2,0,0,1,1,4,0,1,2,9,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,4,0,1,0,4,0,9,0,33,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,3,2,0,0,1,0,224,5,1,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,5,3,0,0,0,0,18,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,Noise - Residential,224,ZCTA5 11429,27808.0,82532.0,27427.0,2448.0,1161.0,19879.0,3990.0,0.08925511357421519
11430,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,48,2,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Taxi Complaint,48,ZCTA5 11430,220.0,-666666666.0,214.0,157.0,51.0,146.0,66.0,0.7336448598130841
11432,638,0,5,0,7,0,0,0,2,0,0,0,0,0,0,22,2,1,0,1,5,1,0,0,0,3,0,0,2,6,4,1,4,5,6,9,0,1,0,142,0,1,6,1,0,3,0,1,4,2,0,1,0,0,5,8,0,0,0,27,0,0,0,0,0,19,0,69,0,1,0,0,0,0,0,0,1,0,0,1,0,1,2,21,37,0,0,0,3,5,0,0,0,60,15,2,0,0,0,0,0,1,5,14,1,0,0,0,0,0,1,0,2,2,1,2,1,0,1,5,6,1,0,0,0,11,4,0,1,1,0,0,0,0,0,0,2,7,25,0,0,0,0,0,0,0,4,1,2,3,0,9,0,0,Drug Activity,142,ZCTA5 11432,64282.0,66270.0,60486.0,8260.0,11250.0,11532.0,13382.0,0.13656052640280394
